2019-06-01 17:25:59.2891 | INFO | SquareSequence_7.SquareSequence | Add 0 to sequense
2019-06-01 17:25:59.4389 | INFO | SquareSequence_7.SquareSequence | Add 1 to sequense
2019-06-01 17:25:59.4572 | INFO | SquareSequence_7.SquareSequence | Add 2 to sequense
2019-06-01 17:25:59.4633 | INFO | SquareSequence_7.SquareSequence | Add 3 to sequense
2019-06-01 17:25:59.4633 | INFO | SquareSequence_7.SquareSequence | Add 4 to sequense
2019-06-01 17:25:59.4761 | INFO | SquareSequence_7.SquareSequence | Add 5 to sequense
2019-06-01 17:25:59.4761 | INFO | SquareSequence_7.SquareSequence | Add 6 to sequense
2019-06-01 17:25:59.4971 | INFO | SquareSequence_7.SquareSequence | Add 7 to sequense
2019-06-01 17:25:59.4971 | INFO | SquareSequence_7.SquareSequence | Add 8 to sequense
2019-06-01 17:25:59.5794 | INFO | SquareSequence_7.SquareSequence | Add 9 to sequense
2019-06-01 17:25:59.7793 | INFO | SquareSequence_7.SquareSequence | 0,1,2,3,4,5,6,7,8,9
